feature,ai,pi
Abrolhos Islands,4137.038193,1961.911256
Anson Beagle,7421.840882,2871.569722
Arafura,138327.6037,19836.02896
Arnhem Wessel,9684.190008,2655.22395
Batemans Shelf,4272.892025,75.97420212
Bonaparte Gulf,54410.64554,1336.050198
Cambridge-Bonaparte,5032.800002,4395.5284
Canning,16273.48124,7334.397911
Cape Province,62520.37344,62520.17335
Carpentaria,227989.3525,8615.479816
Central Eastern Province,233816.1751,16263.3896
Central Eastern Transition,44838.83879,24424.31417
Central West Coast,22356.25009,5300.658778
Central Western Province,268459.7656,60645.69738
Central Western Transition,162890.9119,75970.56599
Cobourg,3097.205005,362.4174845
Eighty Mile Beach,8037.464607,7639.528455
Eucla,105356.0588,28229.68028
Eyre,52026.31113,23740.42884
Groote,2206.936548,0
Hawkesbury Shelf,7462.562206,0
Karumba-Nassau,51263.07444,13825.57345
Kenn Province,57419.07743,57418.85986
Kenn Transition,377131.6253,290526.9509
Kimberley,28455.75942,24657.66003
Leeuwin-Naturaliste,23063.19459,7069.732775
Lord Howe Province,484881.754,99332.46341
Manning Shelf,7001.94708,1307.110375
Murat,30377.77332,6178.098306
Ningaloo,7340.134795,4234.935759
Norfolk Island Province,430793.2891,188443.4081
Northeast Province,422459.8554,422459.6831
Northeast Transition,132486.1472,132486.0081
Northwest Province,178651.4168,29153.89093
Northwest Shelf,153739.1646,38344.60779
Northwest Transition,183547.7667,95946.91426
Oceanic Shoals,150514.0406,73140.23932
Pellew,15893.81781,1399.190911
Pilbara (nearshore),1229.997705,197.6109235
Pilbara (offshore),30462.99249,6624.153277
Southeast Transition,8799.35652,0
Southern Province,650785.7115,269598.6821
Southwest Transition,101054.8948,49682.25205
Tasman Basin Province,156415.4708,77760.85229
Timor Province,155898.7562,54770.4862
Timor Transition,24036.82752,11866.55324
Tiwi,2518.100615,10.61713347
Torres Strait,6793.774933,6745.118779
Tweed-Moreton,26334.68242,155.5188512
WA South Coast,34397.70461,12365.86703
Wellesley,18967.42463,6794.405561
West Cape York,15738.7844,5656.287052
Zuytdorp,32995.54763,14302.02977
