REGION,feature,ai,pi
North,Anson Beagle,7421.840882,2871.569722
North,Arafura,138327.6037,19836.02896
North,Arnhem Wessel,9684.190008,2655.22395
North,Bonaparte Gulf,30304.27499,824.9910696
North,Cambridge-Bonaparte,1511.211499,1511.210039
North,Carpentaria,227989.3525,8615.479816
North,Cobourg,3097.205005,362.4174845
North,Groote,2206.936548,0
North,Karumba-Nassau,51263.07444,13825.57345
North,Oceanic Shoals,69934.8961,39746.98899
North,Pellew,15893.81781,1399.190911
North,Tiwi,2518.100615,10.61713347
North,Torres Strait,6793.774933,6745.118779
North,Wellesley,18967.42463,6794.405561
North,West Cape York,15738.7844,5656.287052
North,Timor Transition,24036.82752,11866.55324
